particle,fluid,phi ,T,size,k_ratio
ZnO,60:40 EG/W,0.01,30.44550562,2.90E-08,1.085635603
ZnO,60:40 EG/W,0.01,37.63651685,2.90E-08,1.137320996
ZnO,60:40 EG/W,0.01,49.43426966,2.90E-08,1.181614893
ZnO,60:40 EG/W,0.01,61.34438202,2.90E-08,1.204351179
ZnO,60:40 EG/W,0.01,75.9511236,2.90E-08,1.24107733
ZnO,60:40 EG/W,0.01,90.67022472,2.90E-08,1.281736065
ZnO,60:40 EG/W,0.02,26.1758427,2.90E-08,1.098942498
ZnO,60:40 EG/W,0.02,31.56910112,2.90E-08,1.128883014
ZnO,60:40 EG/W,0.02,39.20955056,2.90E-08,1.149239921
ZnO,60:40 EG/W,0.02,50.44550562,2.90E-08,1.160145406
ZnO,60:40 EG/W,0.02,62.35561798,2.90E-08,1.241705221
ZnO,60:40 EG/W,0.02,78.64775281,2.90E-08,1.29820445
ZnO,60:40 EG/W,0.02,92.91741573,2.90E-08,1.360387751
ZnO,60:40 EG/W,0.04,25.83876404,2.90E-08,1.138125138
ZnO,60:40 EG/W,0.04,31.79382022,2.90E-08,1.18576779
ZnO,60:40 EG/W,0.04,39.20955056,2.90E-08,1.233553646
ZnO,60:40 EG/W,0.04,50.67022472,2.90E-08,1.256245869
ZnO,60:40 EG/W,0.04,62.80505618,2.90E-08,1.300572813
ZnO,60:40 EG/W,0.04,78.98483146,2.90E-08,1.345296321
ZnO,60:40 EG/W,0.04,93.70393258,2.90E-08,1.38791584
ZnO,60:40 EG/W,0.06,25.9511236,2.90E-08,1.198920467
ZnO,60:40 EG/W,0.06,31.79382022,2.90E-08,1.250473673
ZnO,60:40 EG/W,0.06,39.43426966,2.90E-08,1.264948226
ZnO,60:40 EG/W,0.06,50.44550562,2.90E-08,1.311125799
ZnO,60:40 EG/W,0.06,63.25449438,2.90E-08,1.333950209
ZnO,60:40 EG/W,0.06,79.77134831,2.90E-08,1.398314607
ZnO,60:40 EG/W,0.06,93.81629213,2.90E-08,1.452632738
ZnO,60:40 EG/W,0.07,26.85,2.90E-08,1.26175369
ZnO,60:40 EG/W,0.07,32.01853933,2.90E-08,1.307358449
ZnO,60:40 EG/W,0.07,40.10842697,2.90E-08,1.317955497
ZnO,60:40 EG/W,0.07,50.89494382,2.90E-08,1.34254241
ZnO,60:40 EG/W,0.07,62.35561798,2.90E-08,1.380920908
ZnO,60:40 EG/W,0.07,79.54662921,2.90E-08,1.468880811
ZnO,60:40 EG/W,0.07,94.15337079,2.90E-08,1.491881472
ZnO,60:40 EG/W,0.02,31.64452055,7.70E-08,1.118707151
ZnO,60:40 EG/W,0.02,39.17876712,7.70E-08,1.143434935
ZnO,60:40 EG/W,0.02,50.59429224,7.70E-08,1.152031378
ZnO,60:40 EG/W,0.02,62.23812785,7.70E-08,1.234691488
ZnO,60:40 EG/W,0.02,78.44817352,7.70E-08,1.288653423
ZnO,60:40 EG/W,0.02,92.83173516,7.70E-08,1.348396623
ZnO,60:40 EG/W,0.04,32.10114155,7.70E-08,1.180224798
ZnO,60:40 EG/W,0.04,39.63538813,7.70E-08,1.226605003
ZnO,60:40 EG/W,0.04,50.82260274,7.70E-08,1.250026669
ZnO,60:40 EG/W,0.04,62.46643836,7.70E-08,1.295079941
ZnO,60:40 EG/W,0.04,79.01894977,7.70E-08,1.335351052
ZnO,60:40 EG/W,0.04,93.63082192,7.70E-08,1.373431422
CuO,H2O,0.04,25.59301676,2.90E-08,1.201409155
CuO,H2O,0.04,30.62094972,2.90E-08,1.20050863
CuO,H2O,0.04,38.44217877,2.90E-08,1.228958559
CuO,H2O,0.04,47.79972067,2.90E-08,1.251163179
CuO,H2O,0.04,58.69357542,2.90E-08,1.285032936
CuO,H2O,0.04,72.38072626,2.90E-08,1.297506879
CuO,H2O,0.04,93.33044693,2.90E-08,1.344500959
Al2O3,H2O,0.01,25.03597122,1.30E-08,1.199608022
Al2O3,H2O,0.01,29.92805755,1.30E-08,1.20872813
Al2O3,H2O,0.01,35.10791367,1.30E-08,1.240146765
Al2O3,H2O,0.01,40,1.30E-08,1.233093824
Al2O3,H2O,0.01,44.96402878,1.30E-08,1.24054959
Al2O3,H2O,0.01,49.92805755,1.30E-08,1.211913097
Al2O3,H2O,0.015,24.96402878,1.30E-08,1.215801372
Al2O3,H2O,0.015,30.07194245,1.30E-08,1.232487194
Al2O3,H2O,0.015,35.10791367,1.30E-08,1.26080535
Al2O3,H2O,0.015,40.14388489,1.30E-08,1.270670117
Al2O3,H2O,0.015,44.96402878,1.30E-08,1.242954913
Al2O3,H2O,0.015,49.92805755,1.30E-08,1.232868222
Al2O3,H2O,0.02,25.03597122,1.30E-08,1.223883493
Al2O3,H2O,0.02,30.07194245,1.30E-08,1.23777121
Al2O3,H2O,0.02,34.96402878,1.30E-08,1.268570898
Al2O3,H2O,0.02,40,1.30E-08,1.278207012
Al2O3,H2O,0.02,45.10791367,1.30E-08,1.245342932
Al2O3,H2O,0.02,50,1.30E-08,1.232859847
Al2O3,H2O,0.025,25.17985612,1.30E-08,1.226561363
Al2O3,H2O,0.025,30.07194245,1.30E-08,1.264191289
Al2O3,H2O,0.025,35.10791367,1.30E-08,1.302122521
Al2O3,H2O,0.025,40,1.30E-08,1.290738453
Al2O3,H2O,0.025,45.03597122,1.30E-08,1.271810135
Al2O3,H2O,0.025,50.07194245,1.30E-08,1.253806596
TiO2,H2O,0.01,24.96,3.00E-08,1.202088715
TiO2,H2O,0.01,29.92,3.00E-08,1.17765184
TiO2,H2O,0.01,35.04,3.00E-08,1.165714081
TiO2,H2O,0.01,40,3.00E-08,1.122844828
TiO2,H2O,0.01,45.04,3.00E-08,1.089454582
TiO2,H2O,0.01,50.08,3.00E-08,1.054436362
TiO2,H2O,0.015,24.96,3.00E-08,1.202088715
TiO2,H2O,0.015,29.92,3.00E-08,1.17765184
TiO2,H2O,0.015,35.04,3.00E-08,1.165714081
TiO2,H2O,0.015,40,3.00E-08,1.122844828
TiO2,H2O,0.015,45.04,3.00E-08,1.089454582
TiO2,H2O,0.015,50.08,3.00E-08,1.054436362
TiO2,H2O,0.02,24.96,3.00E-08,1.202088715
TiO2,H2O,0.02,29.92,3.00E-08,1.17765184
TiO2,H2O,0.02,35.04,3.00E-08,1.165714081
TiO2,H2O,0.02,40,3.00E-08,1.122844828
TiO2,H2O,0.02,45.04,3.00E-08,1.089454582
TiO2,H2O,0.02,50.08,3.00E-08,1.054436362
TiO2,H2O,0.025,24.96,3.00E-08,1.202088715
TiO2,H2O,0.025,29.92,3.00E-08,1.17765184
TiO2,H2O,0.025,35.04,3.00E-08,1.165714081
TiO2,H2O,0.025,40,3.00E-08,1.122844828
TiO2,H2O,0.025,45.04,3.00E-08,1.089454582
TiO2,H2O,0.025,50.08,3.00E-08,1.054436362
SiO2,H2O,0.01,24.96551724,3.00E-08,1.117171717
SiO2,H2O,0.01,30,3.00E-08,1.099009901
SiO2,H2O,0.01,35.03448276,3.00E-08,1.077669903
SiO2,H2O,0.01,40,3.00E-08,1.056179775
SiO2,H2O,0.01,45.03448276,3.00E-08,1.054151625
SiO2,H2O,0.01,50,3.00E-08,1.05061082
SiO2,H2O,0.015,25.10344828,3.00E-08,1.133333333
SiO2,H2O,0.015,30,3.00E-08,1.122772277
SiO2,H2O,0.015,34.96551724,3.00E-08,1.12815534
SiO2,H2O,0.015,40,3.00E-08,1.121722846
SiO2,H2O,0.015,45.03448276,3.00E-08,1.166064982
SiO2,H2O,0.015,50,3.00E-08,1.165794066
SiO2,H2O,0.02,25.03448276,3.00E-08,1.157575758
SiO2,H2O,0.02,30.06896552,3.00E-08,1.17029703
SiO2,H2O,0.02,34.96551724,3.00E-08,1.166990291
SiO2,H2O,0.02,40.06896552,3.00E-08,1.174157303
SiO2,H2O,0.02,45.10344828,3.00E-08,1.184115523
SiO2,H2O,0.02,50,3.00E-08,1.202443281
SiO2,H2O,0.025,25.03448276,3.00E-08,1.21010101
SiO2,H2O,0.025,30,3.00E-08,1.196039604
SiO2,H2O,0.025,35.10344828,3.00E-08,1.198058252
SiO2,H2O,0.025,39.86206897,3.00E-08,1.189138577
SiO2,H2O,0.025,44.96551724,3.00E-08,1.209386282
SiO2,H2O,0.025,50.20689655,3.00E-08,1.219895288
Fe,H2O,0.011747929,24.85,3.70E-08,1.001081081
Fe,H2O,0.011412196,24.85,3.70E-08,1.005045045
Fe,H2O,0.010816515,24.85,3.70E-08,1.00990991
Fe,H2O,0.009542849,24.85,3.70E-08,1.018378378
Fe,H2O,0.007077278,24.85,3.70E-08,1.036216216
Fe,H2O,0.002109466,24.85,3.70E-08,1.074234234
Fe,H2O,0.011727828,24.85,7.10E-08,1.001081081
Fe,H2O,0.011410566,24.85,7.10E-08,1.003963964
Fe,H2O,0.010793698,24.85,7.10E-08,1.008108108
Fe,H2O,0.009558061,24.85,7.10E-08,1.015135135
Fe,H2O,0.007070759,24.85,7.10E-08,1.031891892
Fe,H2O,0.002086921,24.85,7.10E-08,1.059279279
Fe,H2O,0.011727828,24.85,9.80E-08,1.001081081
Fe,H2O,0.011389379,24.85,9.80E-08,1.003243243
Fe,H2O,0.010771696,24.85,9.80E-08,1.006846847
Fe,H2O,0.009515143,24.85,9.80E-08,1.013333333
Fe,H2O,0.007064783,24.85,9.80E-08,1.027927928
Fe,H2O,0.002077686,24.85,9.80E-08,1.053153153
Al2O3,H2O,0.009911504,24.85,3.84E-08,1.027272727
Al2O3,H2O,0.019823009,24.85,3.84E-08,1.054545455
Al2O3,H2O,0.029823009,24.85,3.84E-08,1.071590909
Al2O3,H2O,0.039823009,24.85,3.84E-08,1.095454545
Al2O3,H2O,0.042920354,24.85,3.84E-08,1.1
Al2O3,EG,0.0099719,24.85,3.84E-08,1.033626039
Al2O3,EG,0.0199438,24.85,3.84E-08,1.063130781
Al2O3,EG,0.029905163,24.85,3.84E-08,1.103699801
Al2O3,EG,0.039961753,24.85,3.84E-08,1.144280529
Al2O3,EG,0.049727979,24.85,3.84E-08,1.18974359
CuO,H2O,0.009782075,24.85,2.36E-08,1.039032083
CuO,H2O,0.014909039,24.85,2.36E-08,1.056931214
CuO,H2O,0.01993851,24.85,2.36E-08,1.072252844
CuO,H2O,0.024965432,24.85,2.36E-08,1.092735846
CuO,H2O,0.033839806,24.85,2.36E-08,1.122126995
CuO,EG,0.009951691,24.85,2.36E-08,1.04875
CuO,EG,0.019903382,24.85,2.36E-08,1.09125
CuO,EG,0.029855072,24.85,2.36E-08,1.145
CuO,EG,0.039903382,24.85,2.36E-08,1.2125
Al2O3,H2O,0.030420168,23.85,2.80E-08,1.117647059
Al2O3,H2O,0.045802563,23.85,2.80E-08,1.146218487
Al2O3,H2O,0.054903658,23.85,2.80E-08,1.156302521
Al2O3,EG,0.024047195,23.85,2.80E-08,1.008403361
Al2O3,EG,0.050554282,23.85,2.80E-08,1.250420168
Al2O3,EG,0.080612851,23.85,2.80E-08,1.408403361
CuO,H2O,0.045833333,23.85,2.30E-08,1.171970769
CuO,H2O,0.095535714,23.85,2.30E-08,1.350165017
