particle,fluid,phi,T,size,k_ratio
Al2O3,H2O,0.01,20,7.00E-08,1.014932025
CuO,H2O,0.005,35,6.00E-08,1.01495678
Al2O3,H2O,0.005,55,1.25E-07,1.014978717
CuO,H2O,0.01,20,8.00E-08,1.015083452
CuO,H2O,0.01,30,1.50E-07,1.01508498
CuO,H2O,0.005,40,8.00E-08,1.015328874
CuO,H2O,0.005,25,3.00E-08,1.015340768
Al2O3,H2O,0.01,25,8.00E-08,1.0154483
CuO,H2O,0.01,25,1.00E-07,1.015525163
Al2O3,H2O,0.01,20,6.00E-08,1.015718689
Al2O3,H2O,0.005,35,4.00E-08,1.015756924
CuO,H2O,0.005,45,1.00E-07,1.015784106
Al2O3,H2O,0.005,45,7.00E-08,1.015808621
Al2O3,H2O,0.005,60,1.50E-07,1.015825575
Al2O3,H2O,0.005,30,3.00E-08,1.015837986
Al2O3,H2O,0.01,30,1.00E-07,1.015876601
CuO,H2O,0.01,20,7.00E-08,1.01590945
Al2O3,H2O,0.01,35,1.25E-07,1.015940107
Al2O3,H2O,0.005,50,9.00E-08,1.016122075
CuO,H2O,0.005,20,2.00E-08,1.016214699
CuO,H2O,0.005,30,4.00E-08,1.016232145
CuO,H2O,0.01,25,9.00E-08,1.016246895
Al2O3,H2O,0.01,25,7.00E-08,1.016276818
CuO,H2O,0.01,30,1.25E-07,1.01634893
Al2O3,H2O,0.005,25,2.00E-08,1.016423599
CuO,H2O,0.005,50,1.25E-07,1.016555414
Al2O3,H2O,0.01,30,9.00E-08,1.016628952
Al2O3,H2O,0.01,40,1.50E-07,1.016644398
Al2O3,H2O,0.01,20,5.00E-08,1.016820019
Al2O3,H2O,0.005,40,5.00E-08,1.016833383
CuO,H2O,0.005,40,7.00E-08,1.01692472
CuO,H2O,0.01,20,6.00E-08,1.01701078
CuO,H2O,0.005,45,9.00E-08,1.017086283
CuO,H2O,0.01,35,1.50E-07,1.017088127
CuO,H2O,0.005,35,5.00E-08,1.017094352
CuO,H2O,0.01,25,8.00E-08,1.01714906
CuO,H2O,0.005,55,1.50E-07,1.017348959
Al2O3,H2O,0.01,25,6.00E-08,1.01738151
Al2O3,H2O,0.01,30,8.00E-08,1.017569391
Al2O3,H2O,0.005,50,8.00E-08,1.017682399
Al2O3,H2O,0.01,35,1.00E-07,1.017772312
Al2O3,H2O,0.005,45,6.00E-08,1.017801749
Al2O3,H2O,0.005,55,1.00E-07,1.017861
CuO,H2O,0.01,30,1.00E-07,1.018244855
CuO,H2O,0.01,25,7.00E-08,1.018308987
Al2O3,H2O,0.005,60,1.25E-07,1.018337743
Al2O3,H2O,0.01,40,1.25E-07,1.018346634
Al2O3,H2O,0.01,20,4.00E-08,1.018472014
CuO,H2O,0.01,20,5.00E-08,1.018552642
CuO,H2O,0.015,20,1.50E-07,1.018577791
Al2O3,H2O,0.015,20,1.50E-07,1.01862205
CuO,H2O,0.005,45,8.00E-08,1.018714004
Al2O3,H2O,0.01,30,7.00E-08,1.018778527
Al2O3,H2O,0.01,35,9.00E-08,1.018790203
CuO,H2O,0.01,35,1.25E-07,1.018798184
Al2O3,H2O,0.01,45,1.50E-07,1.018861221
Al2O3,H2O,0.01,25,5.00E-08,1.018928079
CuO,H2O,0.005,40,6.00E-08,1.019052516
Al2O3,H2O,0.015,25,1.50E-07,1.019112706
Al2O3,H2O,0.015,20,1.25E-07,1.019282848
CuO,H2O,0.01,30,9.00E-08,1.019298146
Al2O3,H2O,0.005,55,9.00E-08,1.019462268
CuO,H2O,0.015,20,1.25E-07,1.019502908
Al2O3,H2O,0.005,35,3.00E-08,1.019574017
Al2O3,H2O,0.005,50,7.00E-08,1.019688529
CuO,H2O,0.005,50,1.00E-07,1.019701027
CuO,H2O,0.01,25,6.00E-08,1.019855555
Al2O3,H2O,0.005,40,4.00E-08,1.020025076
CuO,H2O,0.005,55,1.25E-07,1.020039089
CuO,H2O,0.015,25,1.50E-07,1.02003995
Al2O3,H2O,0.015,25,1.25E-07,1.020040648
Al2O3,H2O,0.01,35,8.00E-08,1.020062568
CuO,H2O,0.005,30,3.00E-08,1.020181988
CuO,H2O,0.01,40,1.50E-07,1.020231547
Al2O3,H2O,0.015,20,1.00E-07,1.020274044
CuO,H2O,0.005,35,4.00E-08,1.02030071
Al2O3,H2O,0.01,30,6.00E-08,1.020390707
Al2O3,H2O,0.015,30,1.50E-07,1.020429322
Al2O3,H2O,0.005,45,5.00E-08,1.020592129
CuO,H2O,0.01,30,8.00E-08,1.02061476
CuO,H2O,0.005,25,2.00E-08,1.020753759
CuO,H2O,0.005,45,7.00E-08,1.020806789
Al2O3,H2O,0.015,20,9.00E-08,1.020824709
CuO,H2O,0.01,20,4.00E-08,1.020865434
CuO,H2O,0.015,20,1.00E-07,1.020890584
Al2O3,H2O,0.01,40,1.00E-07,1.020899989
Al2O3,H2O,0.01,45,1.25E-07,1.021093524
Al2O3,H2O,0.01,20,3.00E-08,1.021225339
Al2O3,H2O,0.01,25,4.00E-08,1.021247932
CuO,H2O,0.015,25,1.25E-07,1.021339068
CuO,H2O,0.01,35,1.00E-07,1.021363271
CuO,H2O,0.005,60,1.50E-07,1.021410056
Al2O3,H2O,0.015,25,1.00E-07,1.021432559
CuO,H2O,0.005,50,9.00E-08,1.021448589
Al2O3,H2O,0.005,55,8.00E-08,1.021463853
Al2O3,H2O,0.005,30,2.00E-08,1.021480619
Al2O3,H2O,0.015,20,8.00E-08,1.021513041
