particle,fluid,phi,T,size,k_ratio
Fe,H2O,0.005,20,2e-08,1.02505771674095
Fe,H2O,0.01,20,2e-08,1.05053755203646
Fe,H2O,0.015,20,2e-08,1.07645026291138
Fe,H2O,0.02,20,2e-08,1.1028069750229
Fe,H2O,0.025,20,2e-08,1.12961919858794
Fe,H2O,0.03,20,2e-08,1.15689884514332
Fe,H2O,0.035,20,2e-08,1.18465824519035
Fe,H2O,0.04,20,2e-08,1.21291016677852
Fe,H2O,0.045,20,2e-08,1.24166783508722
Fe,H2O,0.05,20,2e-08,1.27094495306862
TiO2,H2O,0.005,20,2e-08,1.01916566928898
TiO2,H2O,0.01,20,2e-08,1.03857779499825
TiO2,H2O,0.015,20,2e-08,1.05824116176387
TiO2,H2O,0.02,20,2e-08,1.07816067887873
TiO2,H2O,0.025,20,2e-08,1.09834138437883
TiO2,H2O,0.03,20,2e-08,1.11878844929136
TiO2,H2O,0.035,20,2e-08,1.1395071820522
TiO2,H2O,0.04,20,2e-08,1.16050303310054
TiO2,H2O,0.045,20,2e-08,1.18178159965924
TiO2,H2O,0.05,20,2e-08,1.20334863070949
MgO,H2O,0.005,20,2e-08,1.0244580326107
MgO,H2O,0.01,20,2e-08,1.04931814011446
MgO,H2O,0.015,20,2e-08,1.07459031947621
MgO,H2O,0.02,20,2e-08,1.1002849018424
MgO,H2O,0.025,20,2e-08,1.12641256662262
MgO,H2O,0.03,20,2e-08,1.15298435628925
MgO,H2O,0.035,20,2e-08,1.18001169193834
MgO,H2O,0.04,20,2e-08,1.20750638965763
MgO,H2O,0.045,20,2e-08,1.23548067775127
MgO,H2O,0.05,20,2e-08,1.26394721487359
SiC,H2O,0.005,20,2e-08,1.02593405243473
SiC,H2O,0.01,20,2e-08,1.05232039818612
SiC,H2O,0.015,20,2e-08,1.07917097342154
SiC,H2O,0.02,20,2e-08,1.10649813803492
SiC,H2O,0.025,20,2e-08,1.13431469461761
SiC,H2O,0.03,20,2e-08,1.16263390845773
SiC,H2O,0.035,20,2e-08,1.19146952863358
SiC,H2O,0.04,20,2e-08,1.22083581027163
SiC,H2O,0.045,20,2e-08,1.25074753804465
SiC,H2O,0.05,20,2e-08,1.28122005099165
SiO2,H2O,0.005,20,2e-08,1.00654404142789
SiO2,H2O,0.01,20,2e-08,1.01311669492076
SiO2,H2O,0.015,20,2e-08,1.01971814853761
SiO2,H2O,0.02,20,2e-08,1.0263485919891
SiO2,H2O,0.025,20,2e-08,1.03300821665578
SiO2,H2O,0.03,20,2e-08,1.0396972156065
SiO2,H2O,0.035,20,2e-08,1.04641578361701
SiO2,H2O,0.04,20,2e-08,1.05316411718895
SiO2,H2O,0.045,20,2e-08,1.05994241456893
SiO2,H2O,0.05,20,2e-08,1.066750875768
ZnO,H2O,0.005,20,2e-08,1.02115700249693
ZnO,H2O,0.01,20,2e-08,1.04261453694874
ZnO,H2O,0.015,20,2e-08,1.06437905267627
ZnO,H2O,0.02,20,2e-08,1.08645718486376
ZnO,H2O,0.025,20,2e-08,1.10885576130291
ZnO,H2O,0.03,20,2e-08,1.13158180943278
ZnO,H2O,0.035,20,2e-08,1.15464256369079
ZnO,H2O,0.04,20,2e-08,1.1780454731908
ZnO,H2O,0.045,20,2e-08,1.20179820974561
ZnO,H2O,0.05,20,2e-08,1.22590867625193
Al2O3,H2O,0.005,20,3e-08,1.02044452099518
Al2O3,H2O,0.01,20,3e-08,1.0411696062837
Al2O3,H2O,0.015,20,3e-08,1.06218107112832
Al2O3,H2O,0.02,20,3e-08,1.08348489262067
Al2O3,H2O,0.025,20,3e-08,1.10508721534995
Al2O3,H2O,0.03,20,3e-08,1.12699435731161
Al2O3,H2O,0.035,20,3e-08,1.14921281606794
Al2O3,H2O,0.04,20,3e-08,1.17174927517318
Al2O3,H2O,0.045,20,3e-08,1.19461061087646
Al2O3,H2O,0.05,20,3e-08,1.21780389911674
CuO,H2O,0.005,20,3e-08,1.02024954292899
CuO,H2O,0.01,20,3e-08,1.04077430621266
CuO,H2O,0.015,20,3e-08,1.06157993920192
CuO,H2O,0.02,20,3e-08,1.08267224692918
CuO,H2O,0.025,20,3e-08,1.1040571955083
CuO,H2O,0.03,20,3e-08,1.12574091776081
CuO,H2O,0.035,20,3e-08,1.1477297190797
CuO,H2O,0.04,20,3e-08,1.17003008354237
CuO,H2O,0.045,20,3e-08,1.1926486802853
CuO,H2O,0.05,20,3e-08,1.21559237015365
Fe,H2O,0.005,20,3e-08,1.02119976738747
Fe,H2O,0.01,20,3e-08,1.04270128722706
Fe,H2O,0.015,20,3e-08,1.06451104830777
Fe,H2O,0.02,20,3e-08,1.0866357268056
