particle,fluid,phi,T,size,k_ratio
CuO,H2O,0.01,35,5.00E-08,1.149454795
CuO,H2O,0.01,30,3.00E-08,1.149672899
CuO,60:40 EG/W,0.02,30,1.25E-07,1.149735287
CuO,H2O,0.02,35,9.00E-08,1.149758877
CuO,40:60 EG/W,0.02,30,1.00E-07,1.150172268
CuO,H2O,0.025,30,7.00E-08,1.150405754
CuO,EG,0.025,30,1.50E-07,1.150664072
CuO,H2O,0.015,40,1.00E-07,1.150734545
CuO,40:60 EG/W,0.015,35,1.25E-07,1.150910047
CuO,H2O,0.015,30,4.00E-08,1.15104669
CuO,EG,0.01,30,6.00E-08,1.151318275
CuO,40:60 EG/W,0.01,35,9.00E-08,1.151502786
CuO,H2O,0.01,45,1.00E-07,1.151833714
CuO,60:40 EG/W,0.015,30,9.00E-08,1.152007026
CuO,H2O,0.03,30,9.00E-08,1.152269223
CuO,H2O,0.03,35,1.50E-07,1.152531023
CuO,40:60 EG/W,0.025,30,1.25E-07,1.152645448
CuO,60:40 EG/W,0.015,35,1.50E-07,1.15268526
CuO,EG,0.015,30,8.00E-08,1.153110774
CuO,H2O,0.02,40,1.25E-07,1.153228025
CuO,EG,0.01,35,1.00E-07,1.153242199
CuO,H2O,0.02,30,5.00E-08,1.153304685
CuO,H2O,0.01,40,7.00E-08,1.153336718
CuO,H2O,0.035,30,1.25E-07,1.153379655
CuO,60:40 EG/W,0.025,30,1.50E-07,1.154025021
CuO,40:60 EG/W,0.015,30,7.00E-08,1.154235897
CuO,EG,0.01,40,1.50E-07,1.155041716
CuO,40:60 EG/W,0.02,30,9.00E-08,1.155110694
CuO,H2O,0.02,35,8.00E-08,1.155335999
CuO,H2O,0.01,50,1.25E-07,1.155537815
CuO,40:60 EG/W,0.02,35,1.50E-07,1.155618132
CuO,EG,0.02,30,1.00E-07,1.155801353
CuO,40:60 EG/W,0.01,30,5.00E-08,1.155957993
CuO,H2O,0.03,30,8.00E-08,1.156190107
CuO,40:60 EG/W,0.01,40,1.25E-07,1.156514186
CuO,H2O,0.015,40,9.00E-08,1.156555344
CuO,H2O,0.025,30,6.00E-08,1.156633958
CuO,H2O,0.025,40,1.50E-07,1.156776678
CuO,H2O,0.015,35,6.00E-08,1.156805319
CuO,H2O,0.025,35,1.00E-07,1.15682065
CuO,H2O,0.015,45,1.25E-07,1.156828501
CuO,40:60 EG/W,0.03,30,1.50E-07,1.156916851
CuO,60:40 EG/W,0.01,30,6.00E-08,1.157610812
CuO,EG,0.025,30,1.25E-07,1.157872371
CuO,60:40 EG/W,0.01,35,1.00E-07,1.158265917
Al2O3,H2O,0.01,30,1.00E-07,1.158291945
CuO,H2O,0.01,45,9.00E-08,1.158499898
CuO,60:40 EG/W,0.015,30,8.00E-08,1.158545645
CuO,EG,0.015,35,1.25E-07,1.158576994
CuO,H2O,0.03,35,1.25E-07,1.158731086
CuO,60:40 EG/W,0.01,40,1.50E-07,1.158771082
CuO,40:60 EG/W,0.01,35,8.00E-08,1.158925318
CuO,H2O,0.035,30,1.00E-07,1.159357101
CuO,H2O,0.04,30,1.50E-07,1.15972579
CuO,EG,0.01,35,9.00E-08,1.159929958
CuO,60:40 EG/W,0.02,30,1.00E-07,1.160416121
CuO,EG,0.015,30,7.00E-08,1.160600312
CuO,H2O,0.02,45,1.50E-07,1.160766486
CuO,H2O,0.03,30,7.00E-08,1.160923675
CuO,40:60 EG/W,0.02,30,8.00E-08,1.160948282
CuO,EG,0.02,30,9.00E-08,1.160993594
CuO,H2O,0.025,35,9.00E-08,1.161375117
CuO,60:40 EG/W,0.025,30,1.25E-07,1.161622482
CuO,EG,0.03,30,1.50E-07,1.16183123
CuO,40:60 EG/W,0.025,30,1.00E-07,1.161933198
CuO,H2O,0.02,35,7.00E-08,1.162069094
CuO,H2O,0.035,30,9.00E-08,1.162419778
CuO,H2O,0.015,50,1.50E-07,1.162699086
CuO,H2O,0.035,35,1.50E-07,1.162809062
CuO,EG,0.02,35,1.50E-07,1.162865022
CuO,EG,0.01,30,5.00E-08,1.162934599
CuO,60:40 EG/W,0.015,35,1.25E-07,1.163039428
CuO,40:60 EG/W,0.015,30,6.00E-08,1.163073048
CuO,H2O,0.01,40,6.00E-08,1.163329946
CuO,40:60 EG/W,0.03,30,1.25E-07,1.163381067
CuO,H2O,0.015,40,8.00E-08,1.163435962
CuO,40:60 EG/W,0.015,35,1.00E-07,1.163538071
CuO,H2O,0.04,30,1.25E-07,1.163709076
CuO,H2O,0.01,35,4.00E-08,1.163715838
CuO,40:60 EG/W,0.015,40,1.50E-07,1.163822604
CuO,H2O,0.02,40,1.00E-07,1.164494284
CuO,H2O,0.02,30,4.00E-08,1.164570614
CuO,H2O,0.025,30,5.00E-08,1.164647608
CuO,60:40 EG/W,0.03,30,1.50E-07,1.164807306
CuO,H2O,0.025,40,1.25E-07,1.16481352
CuO,40:60 EG/W,0.02,35,1.25E-07,1.164853971
Al2O3,H2O,0.01,35,1.50E-07,1.16503351
CuO,60:40 EG/W,0.01,35,9.00E-08,1.165240705
Al2O3,H2O,0.01,30,9.00E-08,1.165295652
CuO,60:40 EG/W,0.02,30,9.00E-08,1.165888682
CuO,H2O,0.035,30,8.00E-08,1.16604009
CuO,H2O,0.01,45,8.00E-08,1.166379826
CuO,60:40 EG/W,0.015,30,7.00E-08,1.166439528
